cand,date,rcp
Bush,2016-01-03 00:00:00,4.3
Christie,2016-01-03 00:00:00,4.8
Paul,2016-01-03 00:00:00,2.8
Kasich,2016-01-03 00:00:00,1.8
Huckabee,2016-01-03 00:00:00,2.0
Fiorina,2016-01-03 00:00:00,2.5
Santorum,2016-01-03 00:00:00,0.8
Walker,2016-01-03 00:00:00,
Jindal,2016-01-03 00:00:00,
Perry,2016-01-03 00:00:00,
Graham,2016-01-03 00:00:00,0.5
Pataki,2016-01-03 00:00:00,0.0
Trump,2016-01-02 00:00:00,35.0
Cruz,2016-01-02 00:00:00,19.5
Rubio,2016-01-02 00:00:00,11.5
Carson,2016-01-02 00:00:00,8.8
Bush,2016-01-02 00:00:00,4.3
Christie,2016-01-02 00:00:00,4.8
Paul,2016-01-02 00:00:00,2.8
Kasich,2016-01-02 00:00:00,1.8
Huckabee,2016-01-02 00:00:00,2.0
Fiorina,2016-01-02 00:00:00,2.5
Santorum,2016-01-02 00:00:00,0.8
Walker,2016-01-02 00:00:00,
Jindal,2016-01-02 00:00:00,
Perry,2016-01-02 00:00:00,
Graham,2016-01-02 00:00:00,0.5
Pataki,2016-01-02 00:00:00,0.0
Trump,2016-01-01 00:00:00,35.6
Cruz,2016-01-01 00:00:00,18.6
Rubio,2016-01-01 00:00:00,11.6
Carson,2016-01-01 00:00:00,9.4
Bush,2016-01-01 00:00:00,4.4
Christie,2016-01-01 00:00:00,4.6
Paul,2016-01-01 00:00:00,2.6
Kasich,2016-01-01 00:00:00,1.8
Huckabee,2016-01-01 00:00:00,1.8
Fiorina,2016-01-01 00:00:00,2.2
Santorum,2016-01-01 00:00:00,0.6
Walker,2016-01-01 00:00:00,
Jindal,2016-01-01 00:00:00,
Perry,2016-01-01 00:00:00,
Graham,2016-01-01 00:00:00,0.6
Pataki,2016-01-01 00:00:00,0.0
Trump,2015-12-31 00:00:00,35.6
Cruz,2015-12-31 00:00:00,18.6
Rubio,2015-12-31 00:00:00,11.6
Carson,2015-12-31 00:00:00,9.4
Bush,2015-12-31 00:00:00,4.4
Christie,2015-12-31 00:00:00,4.6
Paul,2015-12-31 00:00:00,2.6
Kasich,2015-12-31 00:00:00,1.8
Huckabee,2015-12-31 00:00:00,1.8
Fiorina,2015-12-31 00:00:00,2.2
Santorum,2015-12-31 00:00:00,0.6
Walker,2015-12-31 00:00:00,
Jindal,2015-12-31 00:00:00,
Perry,2015-12-31 00:00:00,
Graham,2015-12-31 00:00:00,0.6
Pataki,2015-12-31 00:00:00,0.0
Trump,2015-12-30 00:00:00,35.6
Cruz,2015-12-30 00:00:00,18.6
Rubio,2015-12-30 00:00:00,11.6
Carson,2015-12-30 00:00:00,9.4
Bush,2015-12-30 00:00:00,4.4
Christie,2015-12-30 00:00:00,4.6
Paul,2015-12-30 00:00:00,2.6
Kasich,2015-12-30 00:00:00,1.8
Huckabee,2015-12-30 00:00:00,1.8
Fiorina,2015-12-30 00:00:00,2.2
Santorum,2015-12-30 00:00:00,0.6
Walker,2015-12-30 00:00:00,
Jindal,2015-12-30 00:00:00,
Perry,2015-12-30 00:00:00,
Graham,2015-12-30 00:00:00,0.6
Pataki,2015-12-30 00:00:00,0.0
Trump,2015-12-29 00:00:00,35.6
Cruz,2015-12-29 00:00:00,18.6
Rubio,2015-12-29 00:00:00,11.6
Carson,2015-12-29 00:00:00,9.4
Bush,2015-12-29 00:00:00,4.4
Christie,2015-12-29 00:00:00,4.6
Paul,2015-12-29 00:00:00,2.6
Kasich,2015-12-29 00:00:00,1.8
Huckabee,2015-12-29 00:00:00,1.8
Fiorina,2015-12-29 00:00:00,2.2
Santorum,2015-12-29 00:00:00,0.6
Walker,2015-12-29 00:00:00,
Jindal,2015-12-29 00:00:00,
Perry,2015-12-29 00:00:00,
Graham,2015-12-29 00:00:00,0.6
Pataki,2015-12-29 00:00:00,0.0
Trump,2015-12-28 00:00:00,36.5
Cruz,2015-12-28 00:00:00,17.8
Rubio,2015-12-28 00:00:00,11.3
Carson,2015-12-28 00:00:00,9.3
Bush,2015-12-28 00:00:00,4.2
Christie,2015-12-28 00:00:00,4.2
Paul,2015-12-28 00:00:00,2.5
Kasich,2015-12-28 00:00:00,2.0
Huckabee,2015-12-28 00:00:00,1.8
Fiorina,2015-12-28 00:00:00,2.2
Santorum,2015-12-28 00:00:00,0.5
Walker,2015-12-28 00:00:00,
Jindal,2015-12-28 00:00:00,
Perry,2015-12-28 00:00:00,
Graham,2015-12-28 00:00:00,0.7
Pataki,2015-12-28 00:00:00,0.2
Trump,2015-12-27 00:00:00,36.5
Cruz,2015-12-27 00:00:00,17.8
Rubio,2015-12-27 00:00:00,11.3
Carson,2015-12-27 00:00:00,9.3
Bush,2015-12-27 00:00:00,4.2
Christie,2015-12-27 00:00:00,4.2
Paul,2015-12-27 00:00:00,2.5
Kasich,2015-12-27 00:00:00,2.0
Huckabee,2015-12-27 00:00:00,1.8
Fiorina,2015-12-27 00:00:00,2.2
Santorum,2015-12-27 00:00:00,0.5
Walker,2015-12-27 00:00:00,
Jindal,2015-12-27 00:00:00,
Perry,2015-12-27 00:00:00,
Graham,2015-12-27 00:00:00,0.7
Pataki,2015-12-27 00:00:00,0.2
Trump,2015-12-26 00:00:00,36.5
Cruz,2015-12-26 00:00:00,17.8
