cand,date,rcp
Graham,2016-01-13 00:00:00,
Pataki,2016-01-13 00:00:00,
Trump,2016-01-12 00:00:00,27.0
Cruz,2016-01-12 00:00:00,27.0
Rubio,2016-01-12 00:00:00,13.2
Carson,2016-01-12 00:00:00,8.6
Paul,2016-01-12 00:00:00,3.8
Bush,2016-01-12 00:00:00,4.6
Huckabee,2016-01-12 00:00:00,2.4
Kasich,2016-01-12 00:00:00,2.2
Fiorina,2016-01-12 00:00:00,1.8
Christie,2016-01-12 00:00:00,4.0
Santorum,2016-01-12 00:00:00,1.2
Walker,2016-01-12 00:00:00,
Jindal,2016-01-12 00:00:00,
Perry,2016-01-12 00:00:00,
Graham,2016-01-12 00:00:00,
Pataki,2016-01-12 00:00:00,
Trump,2016-01-11 00:00:00,26.8
Cruz,2016-01-11 00:00:00,27.3
Rubio,2016-01-11 00:00:00,13.3
Carson,2016-01-11 00:00:00,8.8
Paul,2016-01-11 00:00:00,4.0
Bush,2016-01-11 00:00:00,4.3
Huckabee,2016-01-11 00:00:00,2.3
Kasich,2016-01-11 00:00:00,2.0
Fiorina,2016-01-11 00:00:00,1.5
Christie,2016-01-11 00:00:00,4.3
Santorum,2016-01-11 00:00:00,1.0
Walker,2016-01-11 00:00:00,
Jindal,2016-01-11 00:00:00,
Perry,2016-01-11 00:00:00,
Graham,2016-01-11 00:00:00,
Pataki,2016-01-11 00:00:00,
Trump,2016-01-10 00:00:00,27.4
Cruz,2016-01-10 00:00:00,30.2
Rubio,2016-01-10 00:00:00,12.6
Carson,2016-01-10 00:00:00,8.6
Paul,2016-01-10 00:00:00,3.0
Bush,2016-01-10 00:00:00,4.8
Huckabee,2016-01-10 00:00:00,2.6
Kasich,2016-01-10 00:00:00,1.6
Fiorina,2016-01-10 00:00:00,2.4
Christie,2016-01-10 00:00:00,2.6
Santorum,2016-01-10 00:00:00,0.6
Walker,2016-01-10 00:00:00,
Jindal,2016-01-10 00:00:00,
Perry,2016-01-10 00:00:00,
Graham,2016-01-10 00:00:00,0.7
Pataki,2016-01-10 00:00:00,0.3
Trump,2016-01-09 00:00:00,26.8
Cruz,2016-01-09 00:00:00,30.8
Rubio,2016-01-09 00:00:00,12.0
Carson,2016-01-09 00:00:00,9.0
Paul,2016-01-09 00:00:00,2.6
Bush,2016-01-09 00:00:00,5.2
Huckabee,2016-01-09 00:00:00,2.8
Kasich,2016-01-09 00:00:00,1.6
Fiorina,2016-01-09 00:00:00,2.0
Christie,2016-01-09 00:00:00,2.6
Santorum,2016-01-09 00:00:00,0.8
Walker,2016-01-09 00:00:00,
Jindal,2016-01-09 00:00:00,
Perry,2016-01-09 00:00:00,
Graham,2016-01-09 00:00:00,0.5
Pataki,2016-01-09 00:00:00,0.3
Trump,2016-01-08 00:00:00,26.8
Cruz,2016-01-08 00:00:00,30.8
Rubio,2016-01-08 00:00:00,12.0
Carson,2016-01-08 00:00:00,9.0
Paul,2016-01-08 00:00:00,2.6
Bush,2016-01-08 00:00:00,5.2
Huckabee,2016-01-08 00:00:00,2.8
Kasich,2016-01-08 00:00:00,1.6
Fiorina,2016-01-08 00:00:00,2.0
Christie,2016-01-08 00:00:00,2.6
Santorum,2016-01-08 00:00:00,0.8
Walker,2016-01-08 00:00:00,
Jindal,2016-01-08 00:00:00,
Perry,2016-01-08 00:00:00,
Graham,2016-01-08 00:00:00,0.5
Pataki,2016-01-08 00:00:00,0.3
Trump,2016-01-07 00:00:00,27.8
Cruz,2016-01-07 00:00:00,31.8
Rubio,2016-01-07 00:00:00,11.3
Carson,2016-01-07 00:00:00,9.0
Paul,2016-01-07 00:00:00,2.0
Bush,2016-01-07 00:00:00,4.8
Huckabee,2016-01-07 00:00:00,3.0
Kasich,2016-01-07 00:00:00,1.8
Fiorina,2016-01-07 00:00:00,2.3
Christie,2016-01-07 00:00:00,2.3
Santorum,2016-01-07 00:00:00,0.8
Walker,2016-01-07 00:00:00,
Jindal,2016-01-07 00:00:00,
Perry,2016-01-07 00:00:00,
Graham,2016-01-07 00:00:00,0.5
Pataki,2016-01-07 00:00:00,0.3
Trump,2016-01-06 00:00:00,27.8
Cruz,2016-01-06 00:00:00,31.8
Rubio,2016-01-06 00:00:00,11.3
Carson,2016-01-06 00:00:00,9.0
Paul,2016-01-06 00:00:00,2.0
Bush,2016-01-06 00:00:00,4.8
Huckabee,2016-01-06 00:00:00,3.0
Kasich,2016-01-06 00:00:00,1.8
Fiorina,2016-01-06 00:00:00,2.3
Christie,2016-01-06 00:00:00,2.3
Santorum,2016-01-06 00:00:00,0.8
Walker,2016-01-06 00:00:00,
Jindal,2016-01-06 00:00:00,
Perry,2016-01-06 00:00:00,
Graham,2016-01-06 00:00:00,0.5
Pataki,2016-01-06 00:00:00,0.3
